recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob
middle eastern kibbeh,4,0.147692308,0.15,0.12666666699999998,0.095,0.055142857,0.024666667000000003,0.068,0.218,0.031746032,0.0062,0.033333333,0.022000000000000002,0.055555556,0.0,0.15,0.0,0.06,0.035,159,-0.615304823,4.251221098,0.868267404
middle eastern turkey dogs,4,0.147692308,0.15,0.3,0.095,0.082571429,0.005333333000000001,0.032,0.402,0.0,0.0034,0.0,0.032,0.111111111,0.0,0.4,0.0,0.065,0.02,177,0.456524441,4.249692638,0.9991306329999999
mijos slow cooker shredded beef,0,0.610769231,0.75,0.6133333329999999,0.38208333299999997,0.307714286,0.022000000000000002,0.064,1.1159999999999999,0.063492063,0.1958,0.3,0.059000000000000004,0.444444444,0.0,0.9,0.5,0.1775,0.07,621,-4.1252147710000004,4.279173257,0.99999676
mikes favorite grilled cheese,4,0.652307692,1.3,0.38,0.561666667,0.043714286,0.08733333300000001,0.048,0.332,0.063492063,0.251,0.0,0.395,0.111111111,0.0,0.3,0.0,0.0675,0.1525,549,-15.14623855,4.0655380480000005,0.996949058
mikes homemade pizza,4,0.08615384599999999,0.05,0.0,0.22291666699999999,0.086571429,0.137666667,0.10400000000000001,0.124,0.095238095,0.076,0.083333333,0.022000000000000002,0.166666667,0.0,0.25,0.0,0.055,0.275,239,-1.7772442130000001,4.5808340780000005,0.99976139
mikes mushroom bread,4,0.196923077,0.35,0.10666666699999999,0.20875,0.064,0.102,0.084,0.218,0.031746032,0.0804,0.033333333,0.201,0.111111111,0.0,0.3,0.0,0.0625,0.3,279,-3.810919652,4.61405539,0.703163364
mikes portuguese tuna rice casserole,5,0.346153846,0.55,0.226666667,0.1325,0.068,0.14,0.048,0.348,0.063492063,0.1468,0.05,0.125,0.166666667,0.0,0.55,0.0,0.08,0.2875,442,-5.3263674839999995,4.124185756,0.6898535290000001
mile high green chili,4,0.184615385,0.25,0.10666666699999999,0.0875,0.104285714,0.028666667000000003,0.076,0.152,0.126984127,0.18899999999999997,0.8,0.045,0.055555556,0.0,0.15,0.0,0.0675,0.0575,174,-2.0118986530000003,4.240071245,0.820541917
millie pasquinellis fried chicken,6,0.583076923,0.5,0.68,0.543333333,0.132,0.089333333,0.048,0.82,0.031746032,0.1298,0.066666667,0.06,0.222222222,0.0,1.15,0.5,0.125,0.1925,622,-5.399660524,4.2588435360000005,0.9359668090000001
million dollar chicken,6,0.736923077,0.9,0.666666667,0.11208333300000001,0.141428571,0.051666667,0.08800000000000001,0.998,0.063492063,0.0818,0.3,0.077,0.166666667,0.0,0.8,0.5,0.1275,0.0975,687,-5.206415784,4.451887608,0.999898011
