,recipename,labels,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrates,Sugars,Protein,Dietary Fiber,Vitamin A,Vitamin C,Calcium,Potassium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Carb_std,Protein_std,VitA_std,VitC_std,Calcium_std,Iron_std,Thiamin_std,Niacin_std,VitB6_std,Magnesium_std,Folate_std,Potassium_std,Dietary Fiber_std,Total Fat_std,Saturated Fat_std,Cholesterol_std,Sodium_std,Sugars_std,Carb_BI,Protein_BI,VitA_BI,VitC_BI,Calcium_BI,Iron_BI,Thiamin_BI,Niacin_BI,VitB6_BI,Magnesium_BI,Folate_BI,Potassium_BI,Dietary Fiber_BI,Total Fat_BI,Saturated Fat_BI,Cholesterol_BI,Sodium_BI,Sugars_BI,BI_combine
1117,chili burgers,4,40.69999999,15.0,93.9999999,442.9999992000001,9.6,2.000000016,20.2,1.2,370.0,9.0,32.0,591.9999995000001,1.999999998,0.0,10.0,0.0,25.0,22.0,544,40.588235294117645,85.40441176470588,1564.3382352941178,38.0514705882353,135.2941176470588,8.455882344485294,0.0,42.279411764705884,0.0,105.69852941176471,93.01470588235294,2502.941174356618,5.073529411764706,172.07720584007353,63.41911764705882,397.42647016544123,1872.9779377941181,8.455882420588235,0.676470588235294,12.810661764705882,0.9777113970588236,3.1709558823529416,0.5203619909502262,1.5659041378676473,0.0,5.0,0.0,1.3212316176470589,0.5813419117647058,3.575630249080883,1.0147058823529411,0,0,0.0,1.097962629595587,3.6577964411764707,35.970734492788466
1118,chili cheese dog pot pie,4,79.29999999999998,34.0,150.9999999,2749.9999992,67.4000001,5.0000000085,37.699999999999996,10.5,1610.0,10.00000002,614.0,1242.0000005000002,10.000000007999999,0.0,14.0,0.0,117.0,72.0,1175,131.9319150893617,73.79574468085106,3151.4893617021276,19.57446812425532,1201.872340425532,19.57446810076596,0.0,27.404255319148938,0.0,229.02127659574467,140.93617021276594,2431.1489371489365,20.5531914893617,155.2255319148936,66.55319148936171,295.5744678893617,5382.978721838297,9.787234059191489,2.198865251489362,11.06936170212766,1.9696808510638297,1.6312056770212766,4.622585924713585,3.6249015001418443,0.0,5.0,0.0,2.8627659574468085,0.8808510638297872,3.4730699102127667,4.110638297872341,0,0,0.07375886851063834,0.0,3.446470784255319,44.89039692017458
1119,chili cumin stuffed chicken breasts,4,33.600000005,13.0,109.99999980000001,265.0000008,8.0000001,2.000000016,29.5,1.7000000000000002,1311.0,29.000000040000003,166.0,560.999999,1.000000008,0.0,15.0,0.0,37.0,28.0,513,35.86744684210526,132.26120857699803,5877.777777777777,130.01949335672515,744.2495126705653,4.483430835087719,0.0,67.25146198830409,0.0,165.8869395711501,125.53606237816763,2515.2046738791423,7.621832358674465,150.6432748762183,58.28460038986354,493.17738701754394,1188.109165380117,8.966861670175438,0.5977907807017544,15.0,3.6736111111111107,5.0,2.8624981256560207,0.8302649694606888,0.0,5.0,0.0,2.0735867446393765,0.7846003898635477,3.5931495341130604,1.5243664717348928,0,0,0.0,2.524772572124756,3.5766886237816764,47.041329323186886
1120,chili dog casserole i,4,66.69999999000001,28.0,124.99999980000001,1576.9999991999996,39.599999999999994,6.0000000165000005,28.100000000000005,4.8,891.0,8.00000004,368.0,746.9999985000001,5.9999999939999995,0.0,8.0,0.0,73.0,90.0,922,98.78524945770064,70.09761388286336,2222.6681127982647,19.956616151843818,918.004338394794,14.96746202407809,0.0,19.95661605206074,0.0,182.10412147505423,224.5119305856833,1863.449020119306,11.973969631236443,166.38828630911064,69.84815618221258,311.82212531453365,3933.94793726681,14.967462080206074,1.6464208242950107,10.514642082429503,1.3891675704989153,1.6630513459869847,3.5307859169030538,2.771752226681128,0.0,4.989154013015185,0.0,2.276301518438178,1.4031995661605206,2.6620700287418657,2.3947939262472886,0,0,0.0,0.0,2.6242123682212575,37.865551387618886
1121,chili dog casserole ii,4,54.09999998,22.0,93.00000000000001,1329.0,45.300000000000004,4.0000000005,21.599999999999998,6.3,872.0,8.00000004,245.0,777.999999,5.000000003999999,0.0,10.0,0.0,72.0,101.0,805,129.42857142857144,61.71428571428571,2491.4285714285716,22.85714297142857,700.0,14.285714297142855,0.0,28.57142857142857,0.0,205.71428571428572,288.5714285714286,2222.85714,18.0,154.5714285142857,62.857142857142854,265.7142857142858,3797.142857142857,11.42857143,2.1571428571428575,9.257142857142856,1.5571428571428572,1.9047619142857142,2.692307692307692,2.6455026476190473,0.0,5.0,0.0,2.5714285714285716,1.8035714285714288,3.1755102,3.5999999999999996,0,0,0.5714285714285704,0.0,3.1859410428571433,39.550452068498174
1122,chili dogs with cheese,4,44.2,16.0,69.9999999,1005.0,33.5000001,6.0000000165000005,16.3,2.7,408.0,7.00000002,115.0,430.0000005,1.999999998,0.0,8.0,0.0,26.0,66.0,654,117.81345600917432,57.32415902140673,1434.862385321101,24.617737073394494,404.434250764526,7.033639136697247,0.0,28.134556574923547,0.0,91.43730886850153,232.11009174311928,1512.2324176605505,9.495412844036698,155.4434250764526,56.269113149847094,246.1773696788991,3534.4036697247707,21.100917489220187,1.9635576001529054,8.59862385321101,0.8967889908256882,2.0514780894495415,1.5555163490943307,1.3025257660550458,0.0,5.0,0.0,1.1429663608562692,1.4506880733944953,2.1603320252293576,1.8990825688073396,0,0,0.8970438386850148,0.0,1.6506480175840974,29.672207694660084
1123,chili verde,4,48.499999990000006,17.0,111.9999999,625.0000008,27.8000001,4.0000000005,26.500000000000004,5.1,509.0,23.000000040000003,73.0,990.9999995000002,3.000000006,1.0000000005,13.0,1.0,70.0,84.0,714,89.55182105042017,85.36414565826333,1639.6358543417368,74.08963598319329,235.15406162464984,9.663865565546217,3.2212885170168066,41.87675070028011,3.2212885154061626,225.49019607843138,270.5882352941176,3192.2969171568634,16.428571428571427,156.23249296498602,54.76190476190476,360.78431340336135,2013.3053247058822,12.885154063235294,1.4925303508403363,12.8046218487395,1.0247724089635855,5.0,0.9044386985563456,1.7896047343604107,5.0,5.0,5.0,2.818627450980392,1.691176470588235,4.560424167366948,3.285714285714285,0,0,0.0,0.8056139068627455,2.954737450280112,54.132261773252885
1124,chili with pulled beef pork for a crowd,8,51.800000005,18.0,102.9999999,630.0,36.0,4.0000000005,27.299999999999997,10.0,2990.0,23.000000040000003,150.0,1207.9999995000003,5.9999999939999995,0.0,12.0,1.0,86.0,96.0,762,108.66141732283464,82.4015748031496,9024.9343832021,69.4225722992126,452.755905511811,18.110236202362206,0.0,36.22047244094488,3.0183727034120733,259.5800524934383,289.76377952755905,3646.1942242125992,30.183727034120736,156.35170605183728,54.33070866141732,310.8923881496063,1901.5748031496062,12.07349081515748,1.811023622047244,12.36023622047244,5.0,5.0,1.7413688673531194,3.35374744488189,0.0,5.0,5.0,3.244750656167979,1.8110236220472442,5.0,5.0,0,0,0.0,1.0383858267716537,3.0835728864829397,58.44410914622451
1125,chiliville chili,4,45.10000001,16.0,93.9999999,1158.0,33.3,10.000000017,24.7,9.200000000000001,2207.0,23.000000040000003,125.0,863.0000014999999,5.9999999939999995,0.0,7.0,0.0,31.0,29.0,696,110.04310344827586,81.6235632183908,7293.247126436781,76.0057472586207,413.07471264367814,19.827586187068963,0.0,23.132183908045977,0.0,102.44252873563218,95.83333333333333,2851.8678210488506,30.402298850574716,149.03735635488505,52.87356321839081,310.6321835775862,3826.7241379310344,33.04597706767241,1.8340517241379308,12.243534482758621,4.558279454022988,5.0,1.5887488947833774,3.671775219827586,0.0,5.0,0.0,1.2805316091954022,0.5989583333333333,4.074096887212644,5.0,0,0,0.0,0.0,0.0,44.84997660527189
1126,chimichurri baked chicken,6,40.3,12.0,126.9999999,300.0,9.5000001,2.000000016,34.4,1.7000000000000002,892.0,17.00000004,56.00000000000001,688.0000015,1.999999998,0.0,19.0,1.0,43.0,34.0,601,36.35607359400998,131.64725457570717,3413.6439267886853,65.05823642595674,214.30948419301168,7.653910142096507,0.0,72.71214642262895,3.826955074875208,164.55906821963396,130.11647254575706,2632.9450972545756,6.505823627287854,154.2262895174709,45.9234608985025,486.02329412645594,1148.0865224625625,7.653910210981697,0.6059345599001663,15.0,2.1335274542429286,5.0,0.8242672468961988,1.4173907670549089,0.0,5.0,5.0,2.0569883527454245,0.8132279534109816,3.761350138935108,1.301164725457571,0,0,0.0,2.608153078202995,3.7850936173044927,49.30709789415076
